PLAYER,YEAR,AGE,GP,W,L,MP,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
Dario Saric,2019,25,81.00,39.00,42.00,25.00,53.60,46.40,43.40,5.60,41.30,10.40,15.40,13.40,37.80,74.20,25.80,96.60,3.40,82.90,17.10
Darius Johnson-Odom,2014,24,3.00,0.00,3.00,5.10,57.10,42.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Darius Miller,2014,24,45.00,14.00,31.00,16.10,53.60,46.40,48.00,29.00,37.50,8.50,14.50,15.50,19.00,62.50,37.50,92.00,8.00,72.60,27.40
Darius Miller,2015,25,5.00,1.00,4.00,8.70,85.70,14.30,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00
Darius Miller,2018,28,82.00,48.00,34.00,23.70,26.50,73.50,21.70,13.50,69.20,10.50,9.10,12.20,8.20,59.40,40.60,95.90,4.10,84.30,15.70
Darius Miller,2019,29,69.00,31.00,38.00,25.50,24.80,75.20,19.80,11.60,70.40,10.60,9.90,12.90,8.10,62.50,37.50,93.20,6.80,84.10,15.90
Darius Morris,2014,23,27.00,16.00,11.00,11.60,60.40,39.60,50.50,9.30,33.60,20.60,15.90,22.40,41.10,25.90,74.10,58.30,41.70,35.90,64.10
Darius Morris,2015,24,38.00,14.00,24.00,7.90,68.90,31.10,69.90,12.00,25.30,19.30,4.80,12.00,57.80,24.10,75.90,85.70,14.30,36.10,63.90
Darrell Arthur,2014,26,68.00,33.00,35.00,17.10,84.40,15.60,68.80,49.40,18.00,7.00,13.20,16.50,19.50,83.30,16.70,100.00,0.00,85.80,14.20
Darrell Arthur,2015,27,58.00,22.00,36.00,17.00,71.40,28.60,67.50,43.50,20.40,10.70,12.00,15.70,24.10,79.10,20.90,96.20,3.80,81.90,18.10
Darrell Arthur,2016,28,70.00,26.00,44.00,21.70,76.10,23.90,66.80,38.00,25.60,8.50,7.60,13.90,28.80,78.40,21.60,100.00,0.00,82.80,17.20
Darrell Arthur,2017,29,41.00,20.00,21.00,15.60,45.60,54.40,32.10,16.00,60.70,6.50,7.30,6.10,16.00,78.60,21.40,98.10,1.90,89.50,10.50
Darrell Arthur,2018,30,19.00,12.00,7.00,7.40,51.10,48.90,51.90,29.60,44.40,0.00,3.70,9.30,22.20,92.90,7.10,100.00,0.00,95.50,4.50
Darren Collison,2014,26,80.00,56.00,24.00,25.90,72.80,27.20,55.50,20.60,23.40,23.90,21.10,18.30,34.90,34.40,65.60,90.10,9.90,46.60,53.40
Darren Collison,2015,27,45.00,16.00,29.00,34.80,70.70,29.30,55.20,23.40,24.80,25.00,20.00,17.90,31.70,22.50,77.50,65.00,35.00,32.30,67.70
Darren Collison,2016,28,74.00,29.00,45.00,30.00,72.00,28.00,56.00,20.30,25.20,28.80,18.70,23.20,35.70,34.50,65.50,77.00,23.00,44.30,55.70
Darren Collison,2017,29,68.00,26.00,42.00,30.30,75.50,24.50,59.30,25.80,24.30,16.00,16.30,17.70,33.60,36.00,64.00,75.30,24.70,44.40,55.60
Darren Collison,2018,30,69.00,39.00,30.00,29.30,67.90,32.10,51.50,25.00,33.70,21.50,14.90,21.30,26.40,29.50,70.50,80.20,19.80,44.90,55.10
Darren Collison,2019,31,76.00,45.00,31.00,28.20,70.60,29.40,53.70,25.30,27.80,17.50,18.50,21.00,28.40,31.90,68.10,73.40,26.60,42.50,57.50
Darrun Hilliard,2016,23,38.00,17.00,21.00,10.10,61.80,38.20,43.40,18.40,37.50,5.30,19.10,20.40,25.00,42.40,57.60,89.50,10.50,59.60,40.40
Darrun Hilliard,2017,24,39.00,19.00,20.00,9.80,63.50,36.50,55.10,28.30,28.30,12.60,16.50,14.20,26.80,40.00,60.00,91.70,8.30,53.20,46.80
Darrun Hilliard,2018,25,14.00,8.00,6.00,6.80,68.40,31.60,62.50,37.50,0.00,12.50,37.50,0.00,25.00,20.00,80.00,0.00,0.00,20.00,80.00
